anchor_date,train_start,train_end,pred_start,pred_end,k
2020-01-16,2020-01-02,2020-01-16,2020-01-17,2020-01-31,3
2020-01-31,2020-01-02,2020-01-31,2020-02-03,2020-02-14,3
2020-02-14,2020-01-02,2020-02-14,2020-02-18,2020-03-02,3
2020-03-02,2020-01-02,2020-03-02,2020-03-03,2020-03-16,3
2020-03-16,2020-01-03,2020-03-16,2020-03-17,2020-03-30,3
2020-03-30,2020-01-17,2020-03-30,2020-03-31,2020-04-14,3
2020-04-14,2020-02-03,2020-04-14,2020-04-15,2020-04-28,3
2020-04-28,2020-02-18,2020-04-28,2020-04-29,2020-05-12,3
2020-05-12,2020-03-03,2020-05-12,2020-05-13,2020-05-27,3
2020-05-27,2020-03-17,2020-05-27,2020-05-28,2020-06-10,3
2020-06-10,2020-03-31,2020-06-10,2020-06-11,2020-06-24,3
2020-06-24,2020-04-15,2020-06-24,2020-06-25,2020-06-30,3
